timestamps,VbINP_IVPresent_flg,VeAGSM_ConftPathValid_enum,VeINP_IVClass,VfAGSM_1ConftPathLength_m,VfAGSM_1ConftPathTypC3_co,VfAGSM_2ConftPathLength_m,VfAGSM_2ConftPathTypC3_co,VfAGSM_3ConftPathLength_m,VfAGSM_3ConftPathTypC3_co,VfAGSM_ConftPathTypC0_m,VfAGSM_ConftPathTypC1_rad,VfAGSM_ConftPathTypC2_co,VfAGSM_LHLaneMkr0C0_m,VfAGSM_LHLaneMkr0C1_rad,VfAGSM_LHLaneMkr0C2_co,VfAGSM_LHLaneMkr0C3_co,VfAGSM_LHLaneMkr0EdRange_m,VfAGSM_LHLaneMkr0StRange_m,VfAGSM_LHLaneMkr1C0_m,VfAGSM_LHLaneMkr1C1_rad,VfAGSM_LHLaneMkr1C2_co,VfAGSM_LHLaneMkr1C3_co,VfAGSM_LHLaneMkr1EdRange_m,VfAGSM_LHLaneMkr1StRange_m,VfAGSM_VehicleSpd_mps,VfINP_IVAcc_mpss,VfINP_IVHeading_rad,VfINP_IVLaDis_m,VfINP_IVLaSpd_mps,VfINP_IVLgDis_m,VfINP_IVV_mps
1.823403402,0,1,0,25.71235657,-1.41E-06,40,-6.71E-07,50.99940109,0,-0.139300704,0.008067028,-7.64E-06,-1.461013079,-0.008185387,2.77E-05,9.81E-07,57.26000977,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.855776043,0,1,0,25.71235657,-1.39E-06,40,-6.68E-07,51.51240158,0,-0.136861727,0.008158857,-7.66E-06,-1.461071491,-0.008618355,2.77E-05,9.80E-07,57.26000977,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.882755409,0,1,0,25.71235657,-1.38E-06,40,-6.67E-07,51.51780319,0,-0.137266293,0.008230491,-7.67E-06,-1.461071491,-0.008618355,2.77E-05,9.80E-07,57.26000977,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.911718141,0,1,0,25.71235657,-1.37E-06,40,-6.66E-07,51.5232048,0,-0.137696922,0.008276381,-7.68E-06,-1.461071491,-0.008618355,2.77E-05,9.80E-07,57.26000977,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.940767846,0,1,0,25.71235657,-1.36E-06,40,-6.66E-07,51.5286026,0,-0.137990758,0.00830697,-7.69E-06,-1.461071491,-0.008618355,2.77E-05,9.80E-07,57.26000977,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.96650561,0,1,0,25.71235657,-1.37E-06,40,-6.67E-07,51.53310013,0,-0.139466062,0.008255736,-7.69E-06,-1.460990429,-0.008372307,2.77E-05,9.80E-07,57.25,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
1.996431034,0,1,0,25.71235657,-1.38E-06,40,-6.68E-07,51.53220367,0,-0.139322743,0.00822346,-7.70E-06,-1.460990429,-0.008372307,2.77E-05,9.80E-07,57.25,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.022573668,0,1,0,25.71235657,-1.38E-06,40,-6.68E-07,51.53129959,0,-0.139130682,0.008202374,-7.71E-06,-1.460990429,-0.008372307,2.77E-05,9.80E-07,57.25,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.05530962,0,1,0,25.71235657,-1.38E-06,40,-6.68E-07,51.52949905,0,-0.138910905,0.008178816,-7.73E-06,-1.460990429,-0.008372307,2.77E-05,9.80E-07,57.25,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
2.085290767,0,1,0,25.71235657,-1.38E-06,40,-6.68E-07,51.52769852,0,-0.138741016,0.008179951,-7.74E-06,-1.460968614,-0.008399963,2.77E-05,9.81E-07,57.23999023,0,0,0,0,0,-200,-200,0,0,0,0.005,0,198.5,0
